,end_effector_x,end_effector_y,link_01_rotation,link_02_rotation,link_03_rotation
2066,0.4,-0.4,104.34542832768844,51.76741938991768,98.4210196855006
2067,0.4,-0.3,107.98033206056417,55.581000871480924,91.93230582304263
2068,0.4,-0.2,111.63100670023344,59.514097003141075,86.17576091885336
2069,0.4,-0.1,115.421017198971,63.56095676561695,81.18994822098665
2070,0.4,0.0,119.14696735348299,67.80725122166803,76.98076901288543
2071,0.4,0.1,122.741627611769,72.25173727686536,73.55727329519993
2072,0.4,0.2,126.41338704540611,76.70412586093241,71.1147703272467
2073,0.4,0.3,129.9838137925169,81.10430447898386,69.6396885231449
2074,0.4,0.4,133.18924889076058,85.42646867633545,69.01730119540582
2075,0.4,0.5,136.0168925656325,89.5175675740655,69.23649562624988
2076,0.4,0.6,138.45737379759143,93.29252433587233,70.2105693943529
2077,0.4,0.7,140.42067069337656,96.77554515217449,71.77277709150738
2078,0.4,0.8,141.81538166151483,100.04138644343774,73.72991315666118
2079,0.4,0.9,142.79417509033433,103.05173084841833,76.08061155198028
2080,0.4,1.0,143.36553407478425,105.82705527424795,78.71782955279224
2081,0.4,1.1,143.5173965007903,108.49619074905138,81.52643066025817
2082,0.4,1.2,143.31277769363507,111.07399976446257,84.4854257030586
2083,0.4,1.3,142.8208538092324,113.55109764056193,87.6155716260812
2084,0.4,1.4,142.07740137845485,115.94003826504392,90.87407046398671
2085,0.4,1.5,141.03143986933745,118.37821772325256,94.17326356896713
2086,0.4,1.6,139.76188528755048,120.80375450130748,97.57933547407993
2087,0.4,1.7,138.29055325730303,123.21744773134161,101.11830920006282
2088,0.4,1.8,136.63409577979152,125.63352469739607,104.76966002845994
2089,0.4,1.9,134.7289237938432,128.17257921945662,108.49009139012256
2090,0.4,2.0,132.64921315384436,130.7419153852024,112.35121781849828
2091,0.4,2.1,130.36559404636395,133.38224112208673,116.39111078802074
2092,0.4,2.2,127.84397016706528,136.1750679076645,120.56040852155826
2093,0.4,2.3,125.09271532787079,139.07932581445644,124.97334251788473
2094,0.4,2.4,122.04367790124208,142.18933975490046,129.65491126936237
2095,0.4,2.5,118.65560354459227,145.53122495728803,134.7056312549117
2096,0.4,2.6,114.82755572236692,149.21904216566386,140.21248151851825
2097,0.4,2.7,110.3791286480185,153.39336179578862,146.4527506650116
2098,0.4,2.8,104.93476437003382,158.40192585378065,153.86433407491228
2099,0.4,2.9,97.36124571264858,165.27260267764595,163.79266460904427
2100,0.5,-3.0,279.67351928493,179.4638027226756,180.4398095943963
2101,0.5,-2.9,293.6029524367407,152.5201204028552,193.5027452579444
2102,0.5,-2.8,305.2784026718796,135.48942961311653,193.98621934457015
2103,0.5,-2.7,313.8803326673099,124.42062653477437,192.24964460186803
2104,0.5,-2.6,321.1586198129159,115.77638693253043,190.03521531067986
2105,0.5,-2.5,327.6924026786122,108.49573995656617,187.69890727016832
2106,0.5,-2.4,333.77961240844746,102.09163847754631,185.32489701232515
2107,0.5,-2.3,339.57464542860976,96.30899542053842,182.973570026159
2108,0.5,-2.2,345.21662927739766,90.98314175484263,180.59761396481517
2109,0.5,-2.1,350.77933085162107,86.01691120932637,178.20846870146232
2110,0.5,-2.0,356.31617119521263,81.33669483530439,175.84027733790518
2111,0.5,-1.9,1.9122365359842455,76.91799274422384,173.36386461515696
2112,0.5,-1.8,7.603035319883449,72.67815281693842,170.90920860623615
2113,0.5,-1.7,13.456090797045006,68.68247166191345,168.2384005888597
2114,0.5,-1.6,19.530041422153946,64.8246783658527,165.51068258154507
2115,0.5,-1.5,25.848890187500984,61.21924006905641,162.51498210214498
2116,0.5,-1.4,32.49562901414365,57.82913031603394,159.23625395146522
2117,0.5,-1.3,39.49265579991772,54.7115177901383,155.61001602109894
2118,0.5,-1.2,46.72024586640932,52.226394441764185,151.10351867842706
2119,0.5,-1.1,54.15114675883011,50.29965271841695,145.96122634667537
2120,0.5,-1.0,61.317668103952634,49.46265401676692,139.66133989401158
2121,0.5,-0.9,68.54930847262204,49.04052100530345,133.2084606190341
2122,0.5,-0.8,75.09302584846613,49.67549637168284,126.11195212799878
2123,0.5,-0.7,81.25365157414252,50.86113524932702,119.05644867764565
2124,0.5,-0.6,86.60462667560562,52.823803767708526,111.97802311243795
2125,0.5,-0.5,91.72006953372998,55.072438646260125,105.3433754281735
2126,0.5,-0.4,96.26194042611337,57.82044231540969,99.03568889947755
2127,0.5,-0.3,100.69137274437999,60.7869573964863,93.28199901436135
2128,0.5,-0.2,105.0547571333726,63.960058379199126,88.15626989134694
2129,0.5,-0.1,109.25006422726953,67.40379877758454,83.6360711892
2130,0.5,0.0,113.32715440701189,71.07442439981943,79.78748498814043
2131,0.5,0.1,117.42920209798146,74.83243546229546,76.78512507429959
2132,0.5,0.2,121.39037030713035,78.67478570064281,74.61023574821661
2133,0.5,0.3,125.01994649245347,82.59068341597288,73.20217176025098
2134,0.5,0.4,128.3628049967978,86.40472252021053,72.63553926670672
2135,0.5,0.5,131.3609848348666,90.03849927187319,72.84611399881821
2136,0.5,0.6,133.8891793561468,93.5014871433397,73.68573549310953
2137,0.5,0.7,135.89299293408848,96.78409654901535,75.03495740137552
2138,0.5,0.8,137.4753018779703,99.8419380894842,76.86342636294461
2139,0.5,0.9,138.6208748659432,102.67747063284747,79.06216670960926
2140,0.5,1.0,139.29155846130342,105.4279468304766,81.48014929844216
2141,0.5,1.1,139.59051584127488,108.06188634048695,84.14031673486537
2142,0.5,1.2,139.56771666982536,110.56314942586981,86.99351897761147
2143,0.5,1.3,139.24508585419065,112.98598144901341,90.01120583594982
2144,0.5,1.4,138.57604150423123,115.4596574003386,93.08131439616803
2145,0.5,1.5,137.67045404293592,117.88709297098279,96.2949457214157
2146,0.5,1.6,136.5388556220049,120.29156544563739,99.65248913247555
2147,0.5,1.7,135.20755613012102,122.67842286242254,103.13447859021304
2148,0.5,1.8,133.60265292046478,125.19033762781604,106.67229118403702
2149,0.5,1.9,131.81534267883418,127.71818722454316,110.34446042902434
2150,0.5,2.0,129.83089951737867,130.29170005096643,114.1756706288354
2151,0.5,2.1,127.59804237580981,133.0060582082645,118.13970751743571
2152,0.5,2.2,125.14790325636449,135.8189964858534,122.29067985343008
2153,0.5,2.3,122.43719242008319,138.780047415594,126.6833964898133
2154,0.5,2.4,119.42654065658995,141.94900247348062,131.3373746921387
2155,0.5,2.5,116.05331513119576,145.3713643797639,136.3766404504499
2156,0.5,2.6,112.21233776087158,149.1572152932969,141.91193503685497
2157,0.5,2.7,107.70116173861824,153.48590232130584,148.20667494197914
2158,0.5,2.8,102.09229918466298,158.7428188877087,155.7823297410273
2159,0.5,2.9,93.94605550499382,166.27706395736635,166.26019424389006
2160,0.6,-3.0,281.5293636446925,179.44356476544317,180.45606507109497
2161,0.6,-2.9,292.8056303039792,157.45847011617948,191.72832955969318
2162,0.6,-2.8,305.7451026676774,138.53589547352271,192.34918692505815
2163,0.6,-2.7,314.73438293622286,127.2160351318584,190.12277748206577
2164,0.6,-2.6,322.17608918791063,118.6245621560474,187.47735642406062
2165,0.6,-2.5,328.7997300223276,111.48144103902135,184.75243922119253
2166,0.6,-2.4,334.9308185949383,105.26686364909101,182.01003588027555
2167,0.6,-2.3,340.75155190940006,99.69122996544786,179.29655134686098
2168,0.6,-2.2,346.36796438370914,94.5954443917548,176.6335156578732
2169,0.6,-2.1,351.88809424260944,89.881930845529,173.93617171524102
2170,0.6,-2.0,357.36764039812203,85.4808028311829,171.2160847367766
2171,0.6,-1.9,2.8464316042879196,81.34902332675625,168.48659771046692
2172,0.6,-1.8,8.39269227284884,77.47709153911357,165.62632451438256
2173,0.6,-1.7,14.034387546144353,73.8031601053204,162.74427155258232
2174,0.6,-1.6,19.80994598943565,70.411165220087,159.61015216701006
2175,0.6,-1.5,25.764576624839055,67.1912296302354,156.42228090021706
2176,0.6,-1.4,31.876038648869702,64.35450180376736,152.80202963065832
2177,0.6,-1.3,38.211384028609615,61.734905691014035,149.0447186625722
2178,0.6,-1.2,44.558938371490925,59.80178457098201,144.49637958104483
2179,0.6,-1.1,51.02476427004017,58.24146883622761,139.6936296133128
2180,0.6,-1.0,57.22107090394072,57.55521240955976,134.09148455040625
2181,0.6,-0.9,63.522753696356226,57.12309366152972,128.5182277725943
2182,0.6,-0.8,69.53395537356026,57.339474054435726,122.65328776627689
2183,0.6,-0.7,75.10502649083784,58.24260264762984,116.5614010644075
2184,0.6,-0.6,80.56061276962885,59.460316093616385,110.6864206800102
2185,0.6,-0.5,85.57960652648346,61.2237753146653,104.90002784914797
2186,0.6,-0.4,90.4149228361781,63.305944822765355,99.45426338238344
2187,0.6,-0.3,95.16867302680444,65.63905548097166,94.45029604170286
2188,0.6,-0.2,99.77879799956376,68.2524088008236,89.934680396489
2189,0.6,-0.1,104.17933861764124,71.16967821798443,85.92014108916563
2190,0.6,0.0,108.53983383661493,74.25370670373111,82.56157314973028
2191,0.6,0.1,112.78922236836002,77.47209867083029,79.92567337542813
2192,0.6,0.2,116.80720409102508,80.82366566636638,77.97993006580991
2193,0.6,0.3,120.47918209071564,84.25241379952361,76.7376074482438
2194,0.6,0.4,123.87782958020063,87.61169890882181,76.24666028089246
2195,0.6,0.5,126.91162202460187,90.87535453955067,76.42784470900538
2196,0.6,0.6,129.43570477200174,94.05361231508685,77.15067679867866
2197,0.6,0.7,131.52301058235764,97.08308807993265,78.38278145324644
2198,0.6,0.8,133.19841500462675,99.94865979526564,80.06612938552027
2199,0.6,0.9,134.43716543325692,102.66392636772335,82.09447017277145
2200,0.6,1.0,135.21549280993656,105.33369705011958,84.34442327783286
2201,0.6,1.1,135.64769352023663,107.89145263012762,86.86422349662313
2202,0.6,1.2,135.75886167916775,110.34106582500685,89.58851957916359
2203,0.6,1.3,135.54465328641783,112.76188977253446,92.46045020061386
2204,0.6,1.4,135.0063933986858,115.21161908062957,95.42715652698725
2205,0.6,1.5,134.217533870306,117.63135019788999,98.55944029922007
2206,0.6,1.6,133.20965749600057,120.0225925961223,101.82545234521258
2207,0.6,1.7,131.972819520338,122.43201012773599,105.21861519279405
2208,0.6,1.8,130.4671452989437,124.95174204463456,108.69354223492974
2209,0.6,1.9,128.76879144106334,127.49443705752272,112.31200570247324
